Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,94400,-94400
3,0,0,273710,-273710
4,0,0,402770,-402770
5,85915,34171,454830,-420659
6,175805,68761,610177,-541416
7,303096,99976,702315,-602339
8,471006,174643,794295,-619652
9,1577657,653815,856275,-202460
10,2103347,1068344,949353,118991
11,3065747,1487661,1045403,442258
12,5721917,3095269,1246775,1848494
13,6171917,3273725,1378092,1895633
14,8183317,3881323,1526510,2354813
15,8271697,3888943,1633983,2254960
16,11039640,5194980,1754401,3440579
17,11434800,5568767,1859819,3708948
18,12443416,5910898,1987292,3923606
19,12478066,5925282,2083820,3841462
20,12597136,5900206,2252446,3647760
21,12645916,5915945,2376372,3539573
22,15080326,6696086,2516943,4179143
23,17721146,7872942,2643659,5229283
24,18313063,8005629,2738743,5266886
25,20105815,8935709,2859459,6076250
26,20491652,9117659,2987430,6130229
27,24423962,10742159,3100146,7642013
28,24627733,10859801,3221062,7638739
29,26376441,11563859,3445178,8118681
30,26607711,11605861,3565453,8040408
31,29321522,12507984,3787128,8720856
32,29520201,12683047,3896818,8786229
33,32081829,13790846,4070453,9720393
34,32731543,14111572,4257188,9854384
35,34581060,14888711,4410323,10478388
36,37587285,16110663,4567758,11542905
37,40432844,17313946,4752293,12561653
38,42287331,18373129,4917828,13455301
39,45613723,20009431,5073763,14935668
40,47942714,20760730,5323918,15436812
41,49241928,21398930,5533873,15865057
42,50754489,22123576,5720828,16402748
43,53403840,23235516,5902183,17333333
44,53728222,23385013,6150638,17234375
45,56221293,24433710,6345393,18088317
46,58761012,25588899,6520148,19068751
47,59565005,26283805,6802003,19481802
48,61189572,27125095,7063598,20061497
49,62081945,27571710,7261053,20310657
50,62387415,27775710,7435513,20340197
51,62550630,27852798,7615685,20237113
52,62957225,28027973,7845573,20182400
53,63243375,28027091,8028925,19998166
54,64116166,28579816,8232293,20347523
55,66716051,30240126,8579325,21660801
56,68935882,31571672,8827493,22744179
57,69684572,32022904,9073081,22949823
58,70126530,32356126,9324153,23031973
59,70903909,32622894,9522357,23100537
60,71825061,32998324,9743531,23254793
61,72355972,33351840,9980657,23371183
62,73153849,33626470,10195555,23430915
63,74236401,34393876,10398677,23995199
64,75266680,34939185,10572475,24366710
65,75917510,35308486,10870461,24438025
66,76687550,35751756,11188175,24563581
67,77374785,35973802,11427024,24546778
68,77459918,35987209,11638702,24348507
69,78684817,36290278,11859788,24430490
70,80118911,36845245,12066749,24778496
71,80854944,37056613,12275766,24780847
72,83642844,37883623,12474931,25408692
73,84581500,38146301,12671424,25474877
74,87522185,39617713,12920141,26697572
75,87922136,39822150,13154158,26667992
76,88729233,40291037,13389511,26901526
77,90620175,41237038,13621036,27616002
78,93219327,42660243,13929654,28730589
79,94015716,43133878,14230639,28903239
80,94520072,43479951,14526057,28953894
81,95128849,43840629,14844209,28996420
82,95776740,44201746,15145590,29056156
83,96628566,44535096,15486628,29048468
84,98340560,45264934,15892945,29371989
85,99280851,45926736,16240373,29686363
86,100655439,46645529,16562118,30083411
87,102041023,47346672,16898762,30447910
88,103113071,47781506,17240212,30541294
89,104947484,48496331,17537535,30958796
90,106071827,49154065,17856333,31297732
